HELI_IDENT	SEQ_NBR	LENGTH	WIDTH	SURFACE	AC_TYPE	WGS_LAT	WGS_DLAT	WGS_LONG	WGS_DLONG	LGT_SYS_1	LGT_SYS_2	LGT_SYS_3	HIGH_IDENT	HIGH_HDG	HE_WGS_LAT	HE_WGS_DLAT	HE_WGS_LONG	HE_WGS_DLONG	HE_ELEV	HE_SLOPE	HLGT_SYS_1	HLGT_SYS_2	HLGT_SYS_3	LOW_IDENT	LOW_HDG	LE_WGS_LAT	LE_WGS_DLAT	LE_WGS_LONG	LE_WGS_DLONG	LE_ELEV	LE_SLOPE	LLGT_SYS_1	LLGT_SYS_2	LLGT_SYS_3	HIGH_TRUE	LOW_TRUE	CLD_RWY	PAD_ID	CYCLE_DATE
KS99986	50	00100	00076	PSP	CH47		35.768028		128.599889							35.768028		128.599889	2900.0	U							35.768028		128.599889										200409
KS99987	50	00080	00060	CON	CH47		35.898056		128.312778							35.898056		128.312778	1270.0	U							35.898056		128.312778										200409
KS99988	50	00090	00090	PSP	CH47		35.088056		128.611700							35.088056		128.611700	783.0	U							35.088056		128.611700										200409
KS99989	50	00050	00033	GRS	CH47		35.175333		129.159250							35.175333		129.159250	230.0	U							35.175333		129.159250										200409
KS99991	51	00070	00070	CON	UH60														225.0	U							35.175333		129.159250										200409
KS99991	50	00100	00100	CON	CH47		35.863330		128.658300							35.863330		128.658300	225.0	U							35.863330		128.658300										200409
KS99995	50	00047	00043	CON															U	U							35.863330		128.658300										200205
KS99995	51	00047	00043	CON															U	U							35.863330		128.658300										200205
KS99995	52	00034	00034	CON															U	U							35.863330		128.658300										200205
KS99995	1	01968	00078	CON		N36160160	36.267111	E127061610	127.104472							36.267111		127.104472						07	66.6		36.267111		127.104472	U	0.0				239.4	59.4			200205
KU00002	50			U															U	U							36.267111		127.104472										200013
KU00004	51	00200	00200	ASP			28.867697		48.166853	55						28.867697		48.166853	U	U							28.867697		48.166853										200511
KU00004	50	00082	00082	CON			28.864253		48.151031							28.864253		48.151031	29.0	U							28.864253		48.151031										200506
NL98213	50	00100	00100	ASP	UH60		50.943758		6.004944							50.943758		6.004944	426.0	U							50.943758		6.004944										200102
PK00020	50	00040		GRE			32.486683		69.462447							32.486683		69.462447	6657.0	U							32.486683		69.462447										200408
PK99746	50	00090		ASP			30.233092		67.042142							30.233092		67.042142	U	U							30.233092		67.042142										200112
PK99746	51	00090		ASP			30.233511		67.041389							30.233511		67.041389	U	U							30.233511		67.041389										200112
PK99746	52	00140		ASP			30.233931		67.040556							30.233931		67.040556	U	U							30.233931		67.040556										200112
PK99746	1	03323	00070	ASP		N30135994	30.233317	E067023475	67.042986							30.233317		67.042986						13	122.0		30.233317		67.042986	U	U				303.0	123.0			200501
PK99754	50	00100		CON			30.926086		66.431400							30.926086		66.431400	4200.0	U							30.926086		66.431400										200403
PK99754	51	00100		CON			30.926194		66.430592							30.926194		66.430592	4200.0	U							30.926194		66.430592										200403
