Riedelbach		130.125				1.686 ft 					50,30  	8,38  	50	18	6	8	22	59
Riedlingen		129.975				1.732 ft 					48,14  	9,47  	48	8	40	9	28	1
Riesa  Canitz		123.500				403 ft 					51,30  	13,23  	51	18	13	13	13	38
Riesenkopf Flints		122.500				1.570 ft 					47,72  	12,12  	47	43	22	12	6	55
Rossfeld		122.475				2.625 ft 					48,51  	9,33  	48	30	49	9	20	4
Rote Wiese Helmst		122.475				364 ft 					52,23  	10,98  	52	14	5	10	58	51
Rothenberg		123.150				1.558 ft 					49,48  	8,93  	49	28	36	8	55	56
Rüdesheim Eibing		123.500				1.394 ft 					50,02  	7,90  	50	0	56	7	53	47
Saal Saale Kreuzberg		122.475	123.500			860 ft 					50,31  	10,37  	50	18	34	10	22	20
Salzgitter Schäf		122.500				742 ft 	29. Nov	950 m 	50 m 	G	52,03  	10,35  	52	1	53	10	21	16
Salzwedel  Kgartz		122.200				112 ft 					52,83  	11,32  	52	49	56	11	18	56
Schäfhalde		123.500	123.350			2.067 ft 					48,69  	10,10  	48	41	37	10	5	57
Schauendahl		122.300				49 ft 					54,50  	9,07  	54	30	3	9	4	11
Scheuen		123.500				180 ft 					52,67  	10,09  	52	40	6	10	5	16
Schlechtenfeld		123.350				1.804 ft 					48,28  	9,67  	48	17	2	9	40	26
Schlierstadt Selg		122.050				1.089 ft 					49,44  	9,36  	49	26	34	9	21	45
Schnuckenheide Repke		123.475	123.500			328 ft 					52,72  	10,53  	52	43	0	10	31	58
Schotten		123.500				1.640 ft 					50,54  	9,15  	50	32	6	9	8	56
Schreckhof Mosbach		123.500				899 ft 					49,35  	9,12  	49	21	5	9	7	15
Schwaighofen		123.000				1.549 ft 					48,38  	10,04  	48	23	5	10	2	6
Schwann Connweile		122.300				1.542 ft 					48,84  	8,54  	48	50	9	8	32	20
Sevelen		123.500				92 ft 					51,49  	6,43  	51	29	20	6	25	39
Siegen Eisernhard		123.375				1.273 ft 					50,84  	8,01  	50	50	15	8	0	47
Singhofen		123.150				984 ft 					50,27  	7,86  	50	16	23	7	51	24
Sinsheim		122.475				518 ft 					49,25  	8,89  	49	14	50	8	53	37
Stahringen Wahlwies		130.125				1.348 ft 					47,80  	8,98  	47	48	13	8	58	46
Stauffenbühl		123.500				853 ft 					51,17  	10,05  	51	9	56	10	2	56
Steinberg Surwold		123.500				98 ft 					52,96  	7,55  	52	57	21	7	33	17
Steinberg Wessel		123.500				623 ft 					52,08  	10,02  	52	5	3	10	0	56
Stillberghof		123.475				1.654 ft 					48,73  	10,83  	48	43	54	10	50	5
Stolberg Diepenli		123.500				853 ft 					50,77  	6,28  	50	46	6	6	16	45
Stüde Bernsteins		123.500	123.500			246 ft 					52,56  	10,68  	52	33	51	10	41	2
Sultmer Berg		123.150				722 ft 					51,73  	9,99  	51	43	46	9	59	29
Sundern Seidfeld		123.500				1.099 ft 					51,31  	7,98  	51	18	23	7	58	49
Tarmstedt		123.150				128 ft 					53,25  	9,11  	53	15	8	9	6	34
Tauberbischofshei		123.150				925 ft 					49,65  	9,63  	49	38	54	9	37	56
Taucha		122.000				492 ft 	25. Jul	600 m 	30 m 	G	51,40  	12,54  	51	23	56	12	32	15
Teck		122.175				1.214 ft 					48,61  	9,48  	48	36	35	9	28	45
Templin		123.475				202 ft 	27. Sep	1.000 m 	30 m 	B	53,03  	13,54  	53	1	36	13	32	25
