PR_IDENT	ICAO	LEVEL	START_NAME	DEST_NAME	ACFT_TYPE	ACFT_SPEED	UPPER_ALT	LOWER_ALT	EFFE_TIME1	EFFE_TIME2	EFFE_TIME3	CYCLE_DATE	STRT_ICAO	DEST_ICAO
KZ00618	KZ	L	FORT LAUDERDALE METRO AREA	SARASOTA-BRADENTON			17000	6000	10300300			200601	KFLL	KSRQ
KZ00619	KZ	L	FORT LAUDERDALE METRO AREA	TALLAHASSEE			5000		10300300			200601	KFLL	KTLH
KZ00620	KZ	L	FORT LAUDERDALE METRO AREA	TALLAHASSEE			17000	6000	10300300			200601	KFLL	KTLH
KZ00621	KZ	L	FORT LAUDERDALE METRO AREA	TAMPA			5000		10300300			200601	KFLL	KTPA
KZ00622	KZ	L	FORT LAUDERDALE METRO AREA	TAMPA			17000	6000	10300300			200601	KFLL	KTPA
KZ00623	KZ	L	FORT LAUDERDALE METRO AREA	TAMPA			17000	6000	10300300			200601	KFLL	KTPA
KZ00624	KZ	L	FORT LAUDERDALE METRO AREA	VERO BEACH			10000		10300300			200601	KFLL	KVRB
KZ00625	KZ	L	FORT LAUDERDALE METRO AREA	VERO BEACH			17000	11000	10300300			200601	KFLL	KVRB
KZ00626	KZ	L	FORT MYERS METRO AREA	DAYTONA BEACH					10300300			200503	KFMY	KDAY
KZ00627	KZ	L	FORT MYERS METRO AREA	FORT PIERCE					10300300			200503	KFMY	KFPR
KZ00628	KZ	L	FORT MYERS METRO AREA	GAINESVILLE					10300300			200503	KFMY	KGNV
KZ00629	KZ	L	FORT MYERS METRO AREA	JACKSONVILLE					10300300			200503	KFMY	KJAX
KZ00630	KZ	L	FORT MYERS METRO AREA	LAKELAND					10300300			200503	KFMY	KLAL
KZ00631	KZ	L	FORT MYERS METRO AREA	MELBOURNE					10300300			200503	KFMY	KMLB
KZ00632	KZ	L	FORT MYERS METRO AREA	MIAMI					10300300			200503	KFMY	KMIA
KZ00633	KZ	L	FORT MYERS METRO AREA	MIAMI					10300300			200503	KFMY	KMIA
KZ00634	KZ	L	FORT MYERS METRO AREA	OCALA					10300300			200503	KFMY	KOCF
KZ00635	KZ	H	FORT LAUDERDALE METRO AREA	OVERWATER ROUTES (NORTHEAST) (WATER)					10300300			200511	KFLL	
KZ00636	KZ	H	FORT LAUDERDALE METRO AREA	OVERWATER ROUTES (NORTHEAST)					10300300			200503	KFLL	
KZ00638	KZ	H	FORT LAUDERDALE METRO AREA	OVERWATER ROUTES (NORTHWEST)					10300300			200507	KFLL	
KZ00640	KZ	H	FORT LAUDERDALE METRO AREA	PHILADELPHIA					10300300			200503	KFLL	KPHL
KZ00641	KZ	H	FORT LAUDERDALE METRO AREA	PHILADELPHIA (WATER)					10000300			200503	KFLL	KPHL
